Atoms,Comm Name,Neigh Name,Geometry,Latitude (generated),Longitude (generated),Count
932,St. Boniface,STOCK YARDS,Polygon,49.877671192,-97.084400522,114
931,Seven Oaks,RIVERGROVE,Polygon,49.958879598,-97.083526438,28
930,Seven Oaks,RIVERBEND,Polygon,49.959275895,-97.097904111,60
929,Seven Oaks,AMBER TRAILS,Polygon,49.965029511,-97.174280220,25
928,Seven Oaks,AMBER TRAILS,Polygon,49.969335079,-97.179993183,36
927,Seven Oaks,AMBER TRAILS,Polygon,49.969428393,-97.170498640,38
926,Seven Oaks,AMBER TRAILS,Polygon,49.962974035,-97.168222707,21
925,Seven Oaks,RIVERBEND,Polygon,49.953655637,-97.105678646,31
924,Seven Oaks,RIVERGROVE,Polygon,49.953036019,-97.090825807,63
923,St. Boniface,ROYALWOOD,Polygon,49.814361904,-97.071270678,9
922,Fort Garry,TRAPPISTES,Polygon,49.738395378,-97.161629687,1
921,St. Boniface,ST. BONIFACE INDUSTRIAL PARK,Polygon,49.879973760,-97.030762410,31
920,St. Boniface,STOCK YARDS,Polygon,49.874211245,-97.088895765,4
918,St. Boniface,ARCHWOOD,Polygon,49.878503037,-97.103143249,28
917,St. Boniface,NIAKWA PARK,Polygon,49.858447021,-97.093649254,19
915,St. Vital,RIVER PARK SOUTH,Polygon,49.814666959,-97.117558527,27
914,St. Vital,RIVER PARK SOUTH,Polygon,49.818007627,-97.105650548,70
913,St. Vital,RIVER PARK SOUTH,Polygon,49.809395517,-97.097803604,11
912,St. Vital,RIVER PARK SOUTH,Polygon,49.808109899,-97.101685021,7
911,St. Vital,RIVER PARK SOUTH,Polygon,49.805412010,-97.098929289,9
910,St. Vital,RIVER PARK SOUTH,Polygon,49.806132255,-97.093878853,5
909,Assiniboine South,RIDGEWOOD SOUTH,Polygon,49.841088712,-97.313556643,10
908,Assiniboine South,RIDGEWOOD SOUTH,Polygon,49.844047711,-97.311753926,6
906,Assiniboine South,RIDGEWOOD SOUTH,Polygon,49.843454241,-97.317547404,18
905,Assiniboine South,RIDGEWOOD SOUTH,Polygon,49.843423705,-97.320341655,9
904,River East,GRASSIE,Polygon,49.916228634,-97.041191073,55
903,River East,GRASSIE,Polygon,49.916387165,-97.048546882,13
902,River East,GRASSIE,Polygon,49.919159170,-97.041599499,11
901,Transcona,KILDARE-REDONDA,Polygon,49.907131545,-96.994326515,43
900,Transcona,KILDARE-REDONDA,Polygon,49.906832159,-96.981216419,15
899,Transcona,CANTERBURY PARK,Polygon,49.902671897,-96.977232912,29
898,Transcona,CANTERBURY PARK,Polygon,49.903507521,-96.972115125,24
897,Transcona,CANTERBURY PARK,Polygon,49.902082876,-96.962487223,4
896,Transcona,CANTERBURY PARK,Polygon,49.903988538,-96.966091073,6
895,Transcona,CANTERBURY PARK,Polygon,49.907024456,-96.967719962,19
894,Transcona,CANTERBURY PARK,Polygon,49.907068218,-96.977180861,12
